medicine_name,dosage_mg,form,use,diet_recommendation,suggestions,category,time_of_day
Paracetamol,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,125.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,250.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,250.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,250.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,250.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,500.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,500.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,500.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,500.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,650.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,650.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
Paracetamol,650.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",evening
Paracetamol,650.0,Tablet,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",night
Paracetamol,125.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",morning
Paracetamol,125.0,Syrup,Fever and mild pain relief.,Drink plenty of water and eat light meals.,Take after food. Avoid alcohol.,"general_tips,medicine_recommendations",afternoon
